"Angelini, R., and Vaz-Velho, F. (2011). Ecosystem structure and trophic analysis of Angolan Fishery landings. Scientia Marina, 75, pp. 309-319.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishery landings - Angola,Trachurus,Sardinella,Sciaenidae,Ariidae,Merluccius,Dentex,Pseudotolithus,Serranidae,Polynemidae,P. longirostris,Haemulidae,Aristeu varidens,Small pelagics,Mesopelagics,Large pelagics,Demersal fish,Condrichtis,Cephalopodes,Miscelaneous,Penaeus,Marine mammals,Marine birds,Macrobenthos,Middlebenthos,Large Zoo,Small Zoo,
Trachurus,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,
Sardinella,0,0,0,0.25,0.05,0,0.1,0.15,0,0,0.2,0,0.1,0,0.2,0,0,0.05,0,0,0.05,0.1,0,0,0,0,
Sciaenidae,0,0,0,0,0.06,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ariidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,
Merluccius,0,0,0,0,0.04,0,0.2,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,
Dentex,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pseudotolithus,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Serranidae,0,0,0,0,0.1,0,0.15,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,
Polynemidae,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,
P. longirostris,0,0,0,0,0,0.05,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Haemulidae,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aristeu varidens,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Small pelagics,0,0,0,0.1,0.1,0.05,0,0.1,0,0,0.2,0,0,0,0.2,0,0,0.05,0,0,0.2,0.2,0,0,0,0,
Mesopelagics,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.25,0,0,0,0.1,0,0,0,0,0,
Large pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,
Demersal fish,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0,0,0.05,0,0,0,0,0,
Condrichtis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,
Cephalopodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Miscelaneous,0,0,0.15,0.15,0,0.05,0.1,0.1,0,0,0,0,0,0,0.1,0,0.2,0.1,0,0,0.26,0.2,0,0,0,0,
Penaeus,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marine mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marine birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Macrobenthos,0,0.05,0.23,0.1,0,0.2,0,0.2,0.25,0,0.25,0,0,0,0,0.3,0,0.25,0,0,0,0,0.05,0,0,0,
Middlebenthos,0.05,0.05,0.2,0.1,0.15,0.25,0,0.25,0.35,0,0.25,0,0,0,0,0,0,0.15,0.1,0,0,0,0.1,0,0,0,
Large Zoo,0.5,0.35,0.32,0,0.2,0.3,0,0,0,0,0,0,0.2,0.5,0.2,0.3,0,0.25,0.1,0,0,0.2,0,0,0,0,
Small Zoo,0.15,0.15,0.1,0,0.2,0.1,0,0,0,0,0,0,0.2,0.5,0.2,0.3,0,0.05,0.2,0,0,0.25,0,0,0.6,0,
Phytoplankton,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.3,0,0,0,0.05,0.15,0.2,0.7,
Detritus,0,0,0,0,0,0,0,0,0.05,1,0,1,0,0,0,0,0,0,0.3,1,0,0,0.8,0.85,0.2,0.3,
