"Cohen, J.E., Jonsson, T., Carpenter, S.R. (2003). Ecological Community Description Using the Food Web, Species Abundance, and Body Size. Proceedings of the National Academy of Sciences of the United States of America. 100, pp. 1781-1786. See also: Jonsson, T., Cohen, J.E., and Carpenter, S.R. (2005). Food Webs, Body Size, and Species Abundance in Ecological Community Description. Advances in Ecological Research. Vol 36. pp. 1-194.",,,,,,,,,,,,,,,,,,,,,
Tuesday Lake - 1984,Nostoc sp. - Dinobryon cylindricum - Dactylococcopsis fascicularis,Arthrodesmus sp. - Mallomonas sp. 2,Cryptomonas sp. 1 - Chroococcus dispersus - Unclassified flagellates - Chromulina sp. - Selanastrum minutum - Trachelomonas sp.,Cryptomonas sp. 2 - Dictyosphaerium pulchellum - Dinobryon sociale - Peridinium pulsillum,Closteriopsis longissimus,Dinobryon bavaricum - Microcystis aeruginosa - Peridinium limbatum - Peridinium wisconsinense - Synedra sp.,Dinobryon sertularia - Mallomonas sp. 1 - Peridinium cinctum,Glenodinium quadridens,Ascomorpha eucadis - Synchaeta sp. - Keratella cochlearis,Bosmina longirostris,Conochilus (solitary) - Conochiloides dossuarius,Cyclops varians rubellus - Tropocyclops prasinus,Diaphanosoma leuchtenbergianum,Daphnia pulex,Filinia longispina - Gastropus stylifer - Kellicottia sp. - Keratella testudo - Ploesoma sp. - Polyarthra vulgaris - Trichocerca multicrinis - Trichocerca cylindrica,Holopedium gibberum,Leptodiaptomus siciloides,Orthocyclops modestus,Chaoborus punctipennis,Phoxinus eos - Phoxinus neogaeus,Umbra limi
Nostoc sp. - Dinobryon cylindricum - Dactylococcopsis fascicularis,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
Arthrodesmus sp. - Mallomonas sp. 2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Cryptomonas sp. 1 - Chroococcus dispersus - Unclassified flagellates - Chromulina sp. - Selanastrum minutum - Trachelomonas sp.,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0
Cryptomonas sp. 2 - Dictyosphaerium pulchellum - Dinobryon sociale - Peridinium pulsillum,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0
Closteriopsis longissimus,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Dinobryon bavaricum - Microcystis aeruginosa - Peridinium limbatum - Peridinium wisconsinense - Synedra sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dinobryon sertularia - Mallomonas sp. 1 - Peridinium cinctum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Glenodinium quadridens,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0
Ascomorpha eucadis - Synchaeta sp. - Keratella cochlearis,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
Bosmina longirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Conochilus (solitary) - Conochiloides dossuarius,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Cyclops varians rubellus - Tropocyclops prasinus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
Diaphanosoma leuchtenbergianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Daphnia pulex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Filinia longispina - Gastropus stylifer - Kellicottia sp. - Keratella testudo - Ploesoma sp. - Polyarthra vulgaris - Trichocerca multicrinis - Trichocerca cylindrica,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Holopedium gibberum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Leptodiaptomus siciloides,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
Orthocyclops modestus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Chaoborus punctipennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Phoxinus eos - Phoxinus neogaeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Umbra limi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
