"Brodeur, R.D., and Pearcy, W.G. (1992). Effects of environmental variability on trophic interactions and food web structure in a pelagic upwelling ecosystem. Marine Ecology Progress Series. 84, pp. 101-119.",,,,,,,,,,,,,,,
Coastal upwelling pelagic zone off Oregon and Washington - 1981 - USA,Cnidarians (Hydromedusae - Scyphomedusae),Pteropods (Limacina helicina - Clionidae),Cephalopods (Loligo opalescens),Copepods (Neocalanus cristatus - N. plumchrus),CIRR,Amphipods,Ephausiids,Decapods,Insects,Chaetognaths,Thaliacians,Clupeids,Scorpaenids,Pleuronectids,Other fishes
Market squid,1.1,0.1,0,5.3,0,0,4,8.3,0,67,0,0,1,0,13.2
Spiny dogfish,50.2,0,0,0,0,0,0.2,0,0,0,0,19.1,0,3.8,26.7
American shad,0,0,0,61.2,0,0,38.5,0.3,0,0,0,0,0,0,0
Northern anchovy,0,45,0.5,13.1,0,0.7,33,6.5,0,0,0,0,0,0,0.9
Coho salmon (juvenile),0,5.4,0.2,0.3,0,0.6,5.8,1.01,0.2,0,0,2.1,41.3,2.4,31.6
Coho salmon (adult),15.1,0.2,3.7,0,0,0,0,9.9,0,0,0,70.4,0.8,0,0
Chinook salmon (juvenile),0,0.5,1.09,0.1,0,0.1,2.6,5.2,0.3,0,0,9.9,21.4,7.1,41.8
Chinook salmon (adult),0.4,0,0,0,0,0,0,0,0,0,0,98.2,0.2,0,1.1
Cutthroat trout,0,0.2,0,0,0,0,0.4,0,0,0,0,59.9,14.3,0,25
Steelhead trout,0.7,0,1.2,0.1,11,2.3,17.2,5.9,0.3,0,0,0,41.3,2.4,17.6
Sablefish,14.4,7.2,0,0,0,0,3.6,11.7,0,0,8.3,0,34.8,0,19.9
