"Angelini, R., Morais, R.J., Cattella, A.C., Resende, E.K., and Libralato, S. (2013). Aquatic food webs of the oxbow lakes in the Pantanal: A new site for fisheries guaranteed by alternated control?. Ecological Modelling, 253, pp. 82-96.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantanal Plain - Braco Morto Acima (MAC model) - Paraguay River Basin - Brazil,Mammals,Caymans,Birds,Zooplankton,Aquatic insects,Terrestrial insects,S. borellii,S. robustum,T. argenteus,C. australis,P. reticulatum,H. orthonops,Hypostomus spp,P. curviventris,P. corruscans,Moenkhausia spp,Loricaria spp,P. squamoralevis,A. nuchalis,Leporinus spp,P. ternetzi,A. pantaneiro,H. platyrhynchus,T. paraguayensis,H. malabaricus,Serrasalmus spp,G. balzanii,Pimelodus spp,Loricariichthys spp,Roeboides spp,Steindachenerina spp,C. dorsalis,Triportheus spp,Pimelodella spp,Astyanax sp
Phytoplankton,0,0,0,0.4,0,0,0,0,0,0.04,0,0.26,0,0,0,0.003,0,0,0,0.001,0,0,0,0.065,0,0,0.014,0,0,0,0.092,0,0.039,0.065,0.052
Macrophytes,0,0,0,0,0.2,0.3,0.5,0,0.03,0,0,0.7,0,0,0,0.00058,0,0,0,0.068,0,0,0,0,0,0.02,0,0,0,0.076,0,0.025,0,0.022,0.057
Mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caymans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zooplankton,0,0,0,0,0,0,0,0,0.08,0.5,0,0,0,0,0,0.564,0,0,0.026,0,0,0,0,0.532,0,0,0.243,0.054,0,0.087,0,0,0.135,0.011,0
Aquatic insects,0,0,0,0,0,0,0.1,0,0.795,0.02,0,0.01,0,0,0,0.026,0,0,0.932,0.031,0,0,0,0.049,0,0.015,0.012,0.093,0,0.327,0,0,0.009,0.635,0.45
Terrestrial insects,0,0,0,0,0,0,0,0,0.032,0,0,0.02,0,0,0,0.163,0,0,0.018,0,0,0,0,0.054,0.037,0.04,0.257,0.325,0,0,0,0,0.5,0.061,0.055
S. borellii,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0.09,0,0,0,0,0,0,0.08,0,0,0.02,0.012,0,0,0,0,0,0,0,0,0
S. robustum,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.012,0.023,0,0,0.008,0,0,0,0,0,0,0,0,0,0
T. argenteus,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0
C. australis,0,0,0.041,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0,0.015,0
P. reticulatum,0.382,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. orthonops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
Hypostomus spp,0,0.1,0,0,0,0,0,0,0,0,0.134,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. curviventris,0,0,0.051,0,0,0,0,0,0,0,0.079,0,0,0,0.1,0,0,0,0,0,0.087,0.099,0.201,0,0.018,0.094,0,0,0,0,0,0,0,0,0
P. corruscans,0.067,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moenkhausia spp,0,0,0,0,0,0,0,0,0,0,0.057,0,0,0,0.1,0,0,0,0,0,0.237,0.229,0.212,0,0.16,0.124,0,0,0,0.218,0,0,0,0.032,0
Loricaria spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0
P. squamoralevis,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0.04,0,0,0,0,0,0,0.092,0.085,0,0.035,0.025,0,0,0,0,0,0,0,0,0
A. nuchalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
Leporinus spp,0,0,0.031,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
P. ternetzi,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0
A. pantaneiro,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.017,0,0,0,0,0,0,0,0,0
H. platyrhynchus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0.012,0,0,0,0,0,0,0,0,0
T. paraguayensis,0,0,0.061,0,0,0,0,0,0,0,0.136,0,0,0,0.03,0,0,0,0,0,0.024,0,0.011,0,0.15,0,0,0,0,0.011,0,0,0,0,0
H. malabaricus,0.494,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0
Serrasalmus spp,0.056,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0
G. balzanii,0,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.017,0,0,0,0.008,0
Pimelodus spp,0,0,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0.124,0,0.011,0,0,0,0,0,0,0,0,0,0
Loricariichthys spp,0,0,0,0,0,0,0,0,0,0,0.045,0,0,0,0.09,0,0,0,0,0,0,0.103,0.159,0,0.025,0,0,0,0,0,0,0,0,0,0
Roeboides spp,0,0,0.102,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0.062,0,0,0,0,0,0,0,0,0
Steindachenerina spp,0,0,0.072,0,0,0,0,0,0,0,0.045,0,0,0,0.07,0,0,0,0,0,0.025,0.171,0.106,0,0.009,0.142,0,0,0,0.029,0,0,0,0,0
C. dorsalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.237,0,0,0,0.186,0.124,0,0,0,0.109,0,0,0,0,0
Triportheus spp,0,0,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.036,0,0,0,0,0,0,0,0,0
Pimelodella spp,0,0,0.123,0,0,0,0,0,0,0,0.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0,0,0,0
Astyanax sp,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.039,0.011,0,0.01,0,0,0,0,0,0,0,0,0.007,0
