"Angelini, R., Morais, R.J., Cattella, A.C., Resende, E.K., and Libralato, S. (2013). Aquatic food webs of the oxbow lakes in the Pantanal: A new site for fisheries guaranteed by alternated control?. Ecological Modelling, 253, pp. 82-96.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantanal Plain - Baia da Onca (ONCA model) - Paraguay River Basin - Brazil,Mammals,Caymans,Birds,Zooplankton,Aquatic insects,Terrestrial insects,S. borellii,S. robustum,T. argenteus,C. australis,P. reticulatum,H. orthonops,Hypostomus spp,P.curviventris,P. corruscans,Moenkhausia spp,Loricaria spp,P. squamoralevis,A. nuchalis,Leporinus spp,P. ternetzi,A. pantaneiro,H. platyrhynchus,H. edentatus,C. kincaidi,T. paraguayensis,H. malabaricus,Serrasalmus spp,G. balzanii,Pimelodus spp,Loricariichthys spp,Roeboides spp,Steindachnerina spp,C. dorsalis,Triportheus spp,Pimelodella spp,Astyanax sp
Phytoplankton,0,0,0,0.4,0,0,0,0,0,0.04,0,0.26,0,0,0,0.003,0,0,0,0.002,0,0,0,0,0,0.065,0,0,0.014,0,0,0,0.092,0,0.039,0.06,0.1
Mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caymans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zooplankton,0,0,0,0,0,0,0,0,0.08,0.5,0,0,0,0,0,0.564,0,0,0.026,0,0,0,0,0.241,0,0.532,0,0,0.243,0.054,0,0.08,0,0,0.135,0.01,0
Aquatic insects,0,0,0,0,0,0,0.1,0,0.795,0.02,0,0.01,0,0,0,0.026,0,0,0.932,0.035,0,0,0,0,0.22,0.049,0,0.013,0.012,0.119,0,0.3,0,0,0.009,0.6,0.32
Terrestrial insects,0,0,0,0,0,0,0,0,0.032,0,0,0.02,0,0,0,0.163,0,0,0.018,0,0,0.005,0,0,0.066,0.054,0.03,0.034,0.257,0.4,0,0,0,0,0.364,0.047,0.107
S. borellii,0.001,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.09,0,0,0,0,0,0,0.04,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0
S. robustum,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. argenteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.03,0
C. australis,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0.001,0,0,0,0,0,0,0,0.03,0
P. reticulatum,0.3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. orthonops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
Hypostomus spp,0,0.05,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.curviventris,0.1,0,0.05,0,0,0,0,0,0,0,0.07,0,0,0,0.1,0,0,0,0,0,0.2,0.124,0.19,0,0.14,0,0.113,0.125,0,0,0,0,0,0,0,0,0
P. corruscans,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moenkhausia spp,0,0.08,0.2,0,0,0,0,0,0,0,0.05,0,0,0,0.1,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.128,0.104,0,0,0,0.27,0,0,0,0.03,0
Loricaria spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. squamoralevis,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0.07,0.06,0,0,0,0.045,0.021,0,0,0,0,0,0,0,0,0
A. nuchalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
Leporinus spp,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P. ternetzi,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.03,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A. pantaneiro,0.029,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0
H. platyrhynchus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H. edentatus,0.16,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C. kincaidi,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. paraguayensis,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
H. malabaricus,0.2,0.3,0,0,0,0,0,0,0,0,0.12,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serrasalmus spp,0.06,0.04,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.047,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0
G. balzanii,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
Pimelodus spp,0,0.04,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.15,0,0.13,0,0.01,0,0,0,0,0,0,0,0,0,0
Loricariichthys spp,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.02,0,0,0,0,0,0,0.08,0.13,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
Roeboides spp,0.09,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101,0.052,0,0,0,0,0,0,0,0,0
Steindachnerina spp,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.1,0,0.001,0,0,0.198,0,0,0,0,0,0,0,0,0
C. dorsalis,0,0.08,0,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0.2,0.16,0,0,0.103,0,0.2,0.104,0,0,0,0.1,0,0,0,0,0
Triportheus spp,0,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.081,0.052,0,0,0,0,0,0,0,0,0
Pimelodella spp,0,0.05,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0
Astyanax sp,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0
Detritus,0,0,0.03,0.6,0.6,0.2,0,0.91,0.063,0.35,0.03,0.01,0.98,0.9,0.01,0.003,0.88,0.97,0.024,0.867,0,0,0,0.709,0.08,0.271,0,0,0.389,0.2,0.919,0.1,0.908,0.975,0.156,0.092,0.2
Import,0,0,0,0,0.4,0.8,0.9,0.09,0.03,0.09,0.08,0.7,0.02,0.1,0.19,0.24,0.12,0.03,0,0.096,0.113,0.216,0.03,0.05,0.13,0.029,0.18,0.255,0.085,0.227,0.081,0.15,0,0.025,0.297,0.072,0.273
