Lake_nb	Lake	S	Prod_pour	Int_pour	Top_pour	Omn_pour	NL	C	Ccor	GenSk	VulSk	MeanDist	MaxDist	MeanTL	MaxTL	Latitude	Longitude	Elevation	Area	Max_depth	Lake_watershed_area	Volume	Prws	Runoff	Ets	Prlake	Evapl	Outflow	Th	pH	ANC	Conductance	SO4	NO3	CA	AL	DOC
1	AlfordLake	56	0.428571428571429	0.571428571428571	0	0.4375	220	0.0701530612244898	0.125	1.39670306503452	3.38358597127894	1.0625	2	2.21125509380788	3.2620519927428	44.15	74.02	596	13.8	0.6	0.14	79.7	93.53	62.43	31.09	13.38	9.11	66.71	0.103	6.38	40	25	137	0.7	125	1	8
2	BalsomLake	50	0.52	0.4	0.08	0.541666666666667	261	0.1044	0.221938775510204	0.591488644952042	0.875000407715087	1	1	2.21385057471265	2.93333333333334	43.37	74.47	593	6.9	0.9	0.11	59.7	81.15	49.99	31.16	8.76	4.55	54.19	0.114	4.78	-14	22	121	2.9	85	10.8	6.6
4	BeaverLake	56	0.535714285714286	0.464285714285714	0	0.923076923076923	267	0.085140306122449	0.186713286713287	0.515108081515134	1.41152148699972	1.11538461538462	2	2.42041692538094	3.58919228968536	43.39	74.45	559	55	4.9	0.06	1066.5	1139.8	697.83	441.96	68.45	36.32	729.97	0.143	6.01	17.5	21	125	0.7	115	5.5	5.5
5	BigHopeLake	61	0.442622950819672	0.557377049180328	0	0.588235294117647	328	0.0881483472184897	0.16078431372549	0.83034859015277	3.6973168264435	1.11764705882353	2	2.34519834689252	3.68623752597107	44.30	74.07	522	8.9	11.6	0.05	515.8	190.4	107.03	83.36	8.72	5.87	109.88	0.469	5.72	9	22	77	0.7	110	2.1	6.7
6	BrandyLake	30	0.233333333333333	0.6	0.166666666666667	0.434782608695652	121	0.134444444444444	0.181409295352324	1.47490899046997	1.52904198291134	1.04347826086957	2	2.19719229326840	3.0975430876421	44.17	74.21	488	2.4	3	0.02	37.4	125.42	73.89	51.53	2.35	1.58	74.66	0.048	4.75	15	110	87	2.1	205	5.3	14
7	BridgeBrookLake	75	0.52	0.48	0	0.75	553	0.0983111111111111	0.207582582582583	0.331453673315081	1.30212062534257	1.05555555555556	2	2.34065796460002	3.53417744244567	44.09	74.34	486	67.6	7.6	0.04	1787.7	1578.32	983.41	594.9	67.06	44.7	1005.77	0.175	6.69	62	24	104	0.7	125	2.1	6
8	BrookTroutLake	15	0.533333333333333	0.4	0.0666666666666667	0.428571428571429	19	0.0844444444444444	0.193877551020408	1.35772708941820	3.22806507647158	1	1	2.09523809523810	2.66666666666667	43.36	74.39	722	28.7	23.2	0.16	2419.5	213.442	137.04	76.38	34.62	18.95	152.71	1.578	4.83	-12	24	129	14.9	80	18.3	1.6
9	BuckPond	41	0.51219512195122	0.365853658536585	0.121951219512195	0.2	153	0.091017251635931	0.19125	0.655421324718258	2.49567201530593	1	1	2.09333333333333	2.93333333333334	43.31	75.03	533	2.4	3.7	0.02	38.9	149.47	89.4	60.07	3.26	1.58	91.08	0.042	4.71	-16	24	121	1.4	84	14	9.1
3	BurntbridgeLake	53	0.584905660377358	0.415094339622642	0	0.681818181818182	183	0.0651477394090424	0.159965034965035	1.15290157935470	3.37895776415938	1.04545454545455	2	2.20679875679876	2.9457264957265	44.12	74.42	490	21.9	1.5	0.06	175.4	359.49	236.73	122.75	22.8	14.46	245.08	0.071	6.92	129	26	79	0.7	160	1	7.1
10	CascadeLake	35	0.514285714285714	0.485714285714286	0	0.764705882352941	118	0.096326530612245	0.204152249134948	0.48036031435683	1.50328479462412	1.05882352941176	2	2.34652485994398	3.21793154761905	43.47	74.48	553	40.1	6.1	0.08	1718.9	602.99	349.73	253.25	50.92	26.48	374.18	0.445	6.66	38.5	24	131	22	120	0.4	2.2
11	ChubLake	36	0.611111111111111	0.388888888888889	0	0.857142857142857	83	0.0640432098765432	0.169387755102041	0.96634972524353	2.35072939059245	1.07142857142857	2	2.23349339735894	2.89915966386555	43.49	74.47	604	18.6	10.1	0.08	717.3	301.19	175.75	125.44	2291	12.28	186.38	0.389	5.15	-3	22	117	3.6	95	9	3.2
12	ChubPond	54	0.333333333333333	0.5	0.166666666666667	0.722222222222222	416	0.142661179698217	0.218029350104822	0.585918774305824	0.141032872269537	1.02777777777778	2	2.39401927882362	3.2329939668175	43.33	75.03	485	40.1	7.6	0.09	1069.7	623.46	372.91	250.55	54.49	26.48	400.92	0.27	5.91	7	26	115	8.6	100	6.1	4.5
13	ConneryLake	65	0.507692307692308	0.492307692307692	0	0.53125	418	0.0989349112426035	0.2041015625	0.215409942987746	0.207254890691683	1.125	2	2.42378865212117	3.61162759404947	44.18	73.56	506	32.8	15.2	0.07	1736.9	429.86	286.57	143.28	31.24	21.66	296.15	0.586	7.05	130	36	171	0.7	245	0.4	4.3
14	ConstableLake	32	0.625	0.3125	0.0625	0.5	61	0.0595703125	0.163978494623656	1.15216395474571	3.01930421639716	1	1	2.10714285714286	2.64285714285714	43.49	74.48	582	20.6	4	0.02	434.7	1176.27	684.15	492.11	25.63	13.6	696.19	0.062	4.72	-17	26	123	2.9	65	14.5	3
15	DeepLake	19	0.631578947368421	0.368421052631579	0	0.428571428571429	28	0.0775623268698061	0.222222222222222	0.857463151135695	2.43749366229018	1	1	2.09523809523810	2.66666666666667	43.36	74.39	789	11.8	21.3	0.14	946.5	101.58	64.16	37.42	14.23	7.79	70.6	1.353	4.6	-20	26	127	8.6	55	30.9	2.4
16	EmeraldLake	22	0.5	0.5	0	0.181818181818182	58	0.119834710743802	0.251082251082251	0.565482228795843	1.12876808389407	1.09090909090909	2	2.33333333333333	3	44.01	75.01	576	5.3	1.7	0.08	34.2	74.99	49.67	25.32	6.25	3.5	52.43	0.06	4.56	-24	24	79	0.7	50	14.3	9
17	FallsLake	39	0.512820512820513	0.461538461538462	0.0256410256410256	0.368421052631579	152	0.0999342537804076	0.210526315789474	0.752507303025028	2.29820278068762	1.21052631578947	2	2.28775743707094	3.85869565217392	43.37	74.41	759	14.6	7.3	0.17	428.1	106.55	65.91	40.64	7.98	9.64	74.25	0.57	4.46	-31	23	108	2.1	60	20	4.2
18	FawnLake	32	0.4375	0.5625	0	0.555555555555556	122	0.119140625	0.218637992831541	1.08953802437058	1.21622206241746	1.11111111111111	2	2.28589065255732	3.32222222222222	43.42	74.46	594	6.5	0.7	0.02	20	379.85	227.91	151.94	8.25	4.29	231.87	0.008	4.773	-10	24	142	0.7	100	32	5.3
19	FederationLake	22	0.363636363636364	0.636363636363636	0	0.428571428571429	57	0.117768595041322	0.193877551020408	1.21087064202369	2.75986031004706	1.14285714285714	2	2.19784580498866	2.96031746031746	44.20	74.24	488	2	8.2	0.1	88.8	20	12.47	7.52	1.97	1.32	13.12	0.67	4.39	-48	23	65	0.7	29	0.4	3.5
20	GooseLake	40	0.625	0.3	0.075	1	98	0.06125	0.167521367521368	1.32266688202555	0.794472315964055	1	1	2.27589743589744	3.15274725274725	43.46	74.54	540	6.9	1.5	0.06	45.5	147.93	88.47	59.46	8.93	4.55	92.85	0.052	5.68	0.5	22	137	5.7	95	3.9	4
21	GrassLake	44	0.477272727272727	0.5	0.0227272727272727	0.521739130434783	165	0.0852272727272727	0.166835187057634	0.98013006588211	2.45937672687459	1.04347826086957	2	2.24377055169894	3.14523809523809	44.22	74.20	503	8.9	3.7	0.04	125.2	218.98	133.75	85.22	8.77	5.87	136.55	91	5.42	8	22	104	2.1	135	6.2	11
22	GullLake	46	0.456521739130435	0.456521739130435	0.0869565217391304	0.32	212	0.100189035916824	0.188444444444444	0.764444276172184	1.71267643760134	1.04	2	2.29294214876033	3.19545454545455	43.33	75.04	540	50.6	3	0.24	933.5	290.23	171.98	118.24	69.4	33.41	207.97	0.437	5.13	-8	21	125	0.7	75	4.7	2.9
23	GullLakeNorth	16	0.5625	0.4375	0	0.857142857142857	25	0.09765625	0.238095238095238	0.986397091015737	2.14017219883489	1.14285714285714	2	2.17346938775510	2.71428571428571	43.51	74.49	598	10.1	4.3	0.07	266.3	191.41	117.19	74.22	12.57	6.67	123.09	0.213	4.73	-15	22	129	6.4	48	18.3	1.2
24	HelldiverPond	41	0.51219512195122	0.365853658536585	0.121951219512195	0.55	169	0.100535395597858	0.21125	0.818764700166902	1.39920670883766	1	1	2.21336544795784	3.04583333333333	43.40	74.42	566	6.5	3.4	0.08	112.2	102.79	64.92	37.87	7.84	4.29	64.87	0.161	4.71	-12	24	110	2.1	125	9.9	12
25	HighPond	24	0.291666666666667	0.708333333333333	0	0	87	0.151041666666667	0.222506393861893	1.37336131508111	1.71684803417571	1.05882352941176	2	2.29411764705882	3	44.05	74.39	573	15.8	17.4	0.34	901.6	49.01	29.52	19.48	16.65	10.43	35.74	2.519	4.87	-5	20	108	0.7	60	12.8	2.1
26	HoelLake	72	0.430555555555556	0.569444444444444	0	0.829268292682927	571	0.110146604938272	0.196152524905531	0.155343973293967	0.765100871868137	1.17073170731707	2	2.48706401023609	3.85205738933773	44.21	74.21	493	181.7	24.4	0.28	14777.6	642.16	397.21	244.94	179.06	119.99	456.28	3.225	6.52	34	24	100	0.7	135	0.4	3.1
27	HorseshoeLake	49	0.448979591836735	0.551020408163265	0	0.740740740740741	255	0.106205747605165	0.196759259259259	0.243690846804788	1.19933243849313	1.29629629629630	2	2.52038631330611	3.78004304592650	44.19	74.21	480	34.4	7.9	0.21	1616.5	159.14	94.58	64.56	33.81	22.71	105.67	1.529	6.53	29	20	87	0.7	100	0.4	3.3
28	IndianLake	35	0.571428571428571	0.4	0.0285714285714286	0.4	102	0.083265306122449	0.2	1.09038204455461	2.48772925238619	1.06666666666667	2	2.09777777777778	2.8	43.31	74.45	654	33.2	10.7	0.03	981	1333.61	829.8	503.81	41.74	21.92	849.62	0.117	4.45	-31	25	121	2.1	75	22.1	6.9
33	LittleRainbowLake	52	0.403846153846154	0.538461538461538	0.0576923076923077	0.32258064516129	247	0.0913461538461538	0.156230234029095	1.66829102667612	3.18114801317588	1.03225806451613	2	2.14913391097723	3.06373256373256	44.21	74.19	495	4.5	2.1	0.09	33.2	49.73	30.58	19.15	4.42	2.97	32.04	0.112	6.45	45	22	65	2.9	125	1.1	10
