    29   3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22
     1   1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     2   0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     3   0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
     4   0  0  0  0  0  0  1  1  1  1  0  0  0  0  0  1  1  1  0  0
     6   0  0  0  0  0  0  0  0  0  0  1  1  1  1  1  0  0  0  0  1
    11   0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  1  0  0  0
    12   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1
    13   0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  1  1
    18   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1
    19   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1
    20   0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1


