"ID","Species","Interactions","Connectance","Type of interactions","Type of data","Reference","Locality of Studi","Latitude","Longitude"
"M_PL_060_01","50","95","0.221","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_02","50","107","0.235","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_03","58","130","0.222","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_04","67","134","0.139","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_05","87","144","0.081","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_06","71","96","0.082","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_07","68","108","0.095","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_08","47","72","0.135","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_09","58","78","0.108","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_10","39","51","0.146","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_11","34","43","0.154","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_12","37","60","0.21","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
