     16   5   6   7   8   9  10  11  12  13  14
      1   0   1   0   1   0   0   0   0   0   0
      2   1   1   0   1   0   0   0   0   0   0
      3   0   1   1   1   0   0   0   0   0   0
      4   0   0   0   0   0   0   0   1   0   0
      5   0   0   0   0   1   1   1   0   1   0
      6   0   0   0   0   0   0   0   1   0   0
      7   0   0   0   0   1   0   1   1   0   0
      8   0   0   0   0   0   0   0   0   0   1
     10   0   0   0   0   0   0   0   0   0   1
     11   0   0   0   0   0   0   0   0   0   1

