"Torres, M.A., Coll, M., Heymans, J.J., Christensen, V., and Sobrino, I. (2013). Food-web structure of and fishing impacts on the Gulf of Cadiz ecosystem (South-western Spain). Ecological Modelling. 265, pp. 26-44.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gulf of Cadiz food web - South western Spain,Seabirds,Killer whales,Dolphins,Loggerhead turtles,Sharks,Demersal piscivores,Anglerfishes,Skates,Adult hake,Juvenile hake,Mackerels,Horse mackerels,Benthic cephalopods,Common octopus,Benthopelagic cephalopods,Deep-sea fishes,Large benthopelagic fishes,Small benthopelagic fishes,Flatfishes,Demersal fishes,Mullets,Commercial sparids (1),Commercial sparids (2),Blue whiting,Small demersal fishes,Anchovy,Sardine,Rose shrimp,Norway lobster,Mantis shrimp,Crabs,Shrimps,Gelatinous zooplankton,Benthic invertebrates (C.),Polychaetes,Suprabenthos,Benthic invertebrates (F/D/S),Bivalves,Macrozooplankton,Meso and microzooplankton
Seabirds,0.00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killer whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolphins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loggerhead turtles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharks,0,0,0,0,0.002,0.005,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal piscivores,0,0,0,0,0.009,0.003,0,0.005,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anglerfishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult hake,0,0.184,0.03,0,0,0,0.429,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile hake,0,0,0,0,0.003,0.051,0.233,0,0.024,0.008,0,0,0.0001,0,0.0002,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackerels,0.051,0.121,0.065,0,0.203,0.22,0,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horse mackerels,0.001,0,0.066,0,0.007,0.233,0,0,0.022,0,0,0,0,0,0.003,0,0,0,0.00001,0.0004,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic cephalopods,0.002,0,0.012,0.1,0.013,0.011,0.088,0.006,0.018,0.028,0.07,0,0.011,0.14,0.024,0.0004,0.001,0.001,0.005,0.009,0,0.023,0.071,0.014,0,0,0,0.011,0.006,0,0.001,0.005,0,0,0,0,0,0,0,0
Common octopus,0,0,0.001,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
