"sp_taxon_1";"sp_taxon_2";"value";"type"
"P1: large phytoplankton";"MZ: micro-zooplankton";0,265;"herbivory"
"P2: small phytoplankton";"MZ: micro-zooplankton";0,135;"herbivory"
"D1: pelagic detritus";"MZ: micro-zooplankton";0,6;"commensalism"
"P1: large phytoplankton";"Z1ai: copepods (large, >= 0.025mg C)";0,4638;"herbivory"
"P2: small phytoplankton";"Z1ai: copepods (large, >= 0.025mg C)";0,2362;"herbivory"
"MZ: micro-zooplankton";"Z1ai: copepods (large, >= 0.025mg C)";0,3;"predation"
"P1: large phytoplankton";"Z1aii: copepods (small, < 0.025mg C)";0,3975;"herbivory"
"P2: small phytoplankton";"Z1aii: copepods (small, < 0.025mg C)";0,2025;"herbivory"
"MZ: micro-zooplankton";"Z1aii: copepods (small, < 0.025mg C)";0,4;"predation"
"P1: large phytoplankton";"Z1b: small invertebrate larvae";0,3975;"herbivory"
"P2: small phytoplankton";"Z1b: small invertebrate larvae";0,2025;"herbivory"
"MZ: micro-zooplankton";"Z1b: small invertebrate larvae";0,4;"predation"
"P1: large phytoplankton";"Z1d: pteropods";0,3644;"herbivory"
"P2: small phytoplankton";"Z1d: pteropods";0,1856;"herbivory"
"MZ: micro-zooplankton";"Z1d: pteropods";0,15;"predation"
"Z1ai: copepods (large, >= 0.025mg C)";"Z1d: pteropods";0,015;"predation"
"Z1aii: copepods (small, < 0.025mg C)";"Z1d: pteropods";0,1629;"predation"
"Z1b: small invertebrate larvae";"Z1d: pteropods";0,1022;"predation"
"D1: pelagic detritus";"Z1d: pteropods";0,02;"commensalism"
"P1: large phytoplankton";"Z2a: pelagic amphipods";0,2738;"herbivory"
"P2: small phytoplankton";"Z2a: pelagic amphipods";0,1395;"herbivory"
"MZ: micro-zooplankton";"Z2a: pelagic amphipods";0,2584;"predation"
"Z1ai: copepods (large, >= 0.025mg C)";"Z2a: pelagic amphipods";0,0152;"predation"
"Z1aii: copepods (small, < 0.025mg C)";"Z2a: pelagic amphipods";0,1654;"predation"
"Z1b: small invertebrate larvae";"Z2a: pelagic amphipods";0,1037;"predation"
"Z2e: small jellyfish";"Z2a: pelagic amphipods";0,0065;"predation"
"Z2f: large jellyfish";"Z2a: pelagic amphipods";0,0014;"predation"
"Z1c: invertebrate eggs";"Z2a: pelagic amphipods";0,0207;"predation"
"Z2d: fish eggs";"Z2a: pelagic amphipods";0,0052;"predation"
"D1: pelagic detritus";"Z2a: pelagic amphipods";0,0103;"commensalism"
"P1: large phytoplankton";"Z2b: pelagic shrimp (Sergestidae, Panaeidae)";0,0338;"herbivory"
"P2: small phytoplankton";"Z2b: pelagic shrimp (Sergestidae, Panaeidae)";0,0172;"herbivory"
"MZ: micro-zooplankton";"Z2b: pelagic shrimp (Sergestidae, Panaeidae)";0,0308;"predation"
"Z1ai: copepods (large, >= 0.025mg C)";"Z2b: pelagic shrimp (Sergestidae, Panaeidae)";0,0308;"predation"
"Z1aii: copepods (small, < 0.025mg C)";"Z2b: pelagic shrimp (Sergestidae, Panaeidae)";0,3352;"predation"
"Z1b: small invertebrate larvae";"Z2b: pelagic shrimp (Sergestidae, Panaeidae)";0,2103;"predation"
"Z1d: pteropods";"Z2b: pelagic shrimp (Sergestidae, Panaeidae)";0,0096;"predation"
