"ID","Species","Interactions","Connectance","Type of interactions","Type of data","Reference","Locality of Studi","Latitude","Longitude"
"M_PL_061_01","17","17","0.283","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_02","22","27","0.318","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_03","20","24","0.286","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_04","22","29","0.259","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_05","34","51","0.193","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_06","35","58","0.22","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_07","32","62","0.3","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_08","25","35","0.307","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_09","16","15","0.25","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
"M_PL_061_10","19","20","0.286","Pollination","1","Kaiser-Bunbury CN, Vázquez DP, Stang M, Ghazoul J. 2014. Determinants of the microstructure of plant-pollinator networks. Ecology, 95: 3314-3324.","Morne Seychellois National Park, Mahé","-4.666667","55.43333"
